,2019,2020,2021,2022,2023,2024
AUSTRIA,21000,0,12000,0,11900,0
BELGIUM,38434,30070,36785,44357.47,46866,"38,805"
FINLAND,0,0,0,0,0,0
FRANCE,0,0,0,0,0,0
GERMANY,0,0,0,0,0,0
ITALY,60294,47937,63167,54499,129644,"95,092"
NETHERLANDS,0,0,0,0,0,0
PORTUGAL,5405,3039,4338,5714,5807,"2,875"
SPAIN,49832,36905,52223,56251,61776,"49,996"
SWEDEN,0,0,0,0,0,0
UNITED KINGDOM,18883,13931,16379,20507,22013,"15,276"
EUROPEAN UNION New Members,1183,1180,1262,1347,1432,"1,522"
CZECH REPUBLIC,1183,1180,1262,1347,1432,"1,522"
HUNGARY,0,0,0,0,0,0
POLAND,0,0,0,0,0,0
ROMANIA,0,0,0,0,0,0
SLOVAKIA,0,0,0,0,0,0
SLOVENIA,0,0,0,0,0,0
OTHER EUROPE,96421,92408,122146,122644,143921,"1,30,441"
SERBIA,9,10,9,0,0,39
CIS (excluding Belarus & Ukraine),0,0,0,0,0,0
CIS (only Russia & Kazakhstan),77409,69148,83563,76074,91677,"94,571"
CIS (only Russia),0,0,0,0,0,0
RUSSIA,64201,52279,68937,63723,77476,"86,867"
AZERBAIJAN,163,0,0,424,799,697
BELARUS,8798,8629,0,0,0,0
KAZAKHSTAN,4247,8240,10647,7833,9861,"7,704"
UKRAINE,0,0,0,0,0,0
UZBEKISTAN,0,0,3979,4094,3541,"3,634"
TURKEY,19003,23250,38574,46570,52244,"35,870"
NAFTA,583610,383044,463591,526725,562244,"5,53,133"
CANADA,23311,14719,12504,10898,17529,"22,227"
MEXICO,213933,133314,162836,195789,215577,"2,05,746"
USA,346366,235011,288251,320038,329138,"3,25,160"
SOUTH AMERICA,113476,90936,158810,161992,100535,"1,41,252"
ARGENTINA,0,0,0,0,0,0
BRAZIL,113476,90936,158810,161992,100535,"1,41,252"
COLOMBIA,0,0,0,0,0,0
AUSTRALIA,5606,4730,5391,6077,7141,"7,238"
CHINA,0,2976459,2408094,1249268,1645195,"16,55,941"
INDIA,2217847,123621,246407,327369,349359,"3,19,712"
INDONESIA,276921,53219.06,72983,93679,76031,"63,607"
IRAN,91757,10300.8,10537.72,12539.88,16803.45,"16,619"
JAPAN,9600,405451,516988,512809,492829,"4,60,130"
MALAYSIA,506393,0,0,0,0,0
MYANMAR,0,0,0,0,0,0
PAKISTAN,4013,2755,5038,4734,2021,"3,096"
PHILIPPINES,8400,0,0,0,0,0
SOUTH KOREA,0,55583,65895,64896,59151,"49,095"
TAIWAN,5859,7286,9780,9096,6803,"5,425"
THAILAND,0,0,0,0,0,0
VIETNAM,0,0,0,0,0,0
ALGERIA,0,0,0,0,0,0
EGYPT,0,0,0,0,0,0
MOROCCO,0,0,0,0,0,0
SOUTH AFRICA,27872,22567,26969,30249,32923,"30,814"
